      time[s]	 Civ.time[h]	 Sol.time[h]	qconv1[W/m2]	 qrad1[W/m2]	 qsol1[W/m2]	qconv2[W/m2]	 qrad2[W/m2]	 qsol2[W/m2]	hcon1[W/m2K]	hrad1[W/m2K]	hcon2[W/m2K]	hrad2[W/m2K]	 Qcum1[J/m2]	 Qcum2[J/m2]	 Ta(-3mm)[K]	   T(0mm)[K]	   T(2mm)[K]	   T(3mm)[K]	   T(4mm)[K]	   T(5mm)[K]	   T(6mm)[K]	   T(7mm)[K]	   T(8mm)[K]	   T(9mm)[K]	  T(10mm)[K]	  T(11mm)[K]	  T(12mm)[K]	  T(13mm)[K]	  T(14mm)[K]	  T(15mm)[K]	  T(16mm)[K]	  T(17mm)[K]	  T(18mm)[K]	  T(19mm)[K]	  T(20mm)[K]	  T(21mm)[K]	  T(22mm)[K]	  T(23mm)[K]	  T(24mm)[K]	  T(25mm)[K]	  T(26mm)[K]	  T(27mm)[K]	  T(28mm)[K]	  T(29mm)[K]	  T(30mm)[K]	 Ta(33mm)[K]
         0.00	        0.00	        0.00	        0.00	        0.00	        0.00	        0.00	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.00000E+00	 0.00000E+00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00	      277.00
        60.00	        0.02	        0.00	        0.48	        0.00	        0.00	       -0.03	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.28920E+02	-0.16527E+01	      277.38	      277.13	      277.11	      277.10	      277.09	      277.08	      277.07	      277.07	      277.06	      277.05	      277.05	      277.04	      277.04	      277.03	      277.03	      277.03	      277.03	      277.02	      277.02	      277.02	      277.02	      277.01	      277.01	      277.01	      277.01	      277.01	      277.01	      277.01	      277.01	      277.00	      277.00	      277.00
       120.00	        0.03	        0.00	        1.28	        0.00	        0.00	       -0.12	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.10564E+03	-0.89209E+01	      277.77	      277.42	      277.37	      277.33	      277.31	      277.28	      277.25	      277.23	      277.21	      277.19	      277.18	      277.16	      277.15	      277.13	      277.12	      277.11	      277.10	      277.09	      277.08	      277.07	      277.07	      277.06	      277.05	      277.05	      277.04	      277.04	      277.03	      277.03	      277.02	      277.02	      277.01	      277.00
       180.00	        0.05	        0.00	        1.84	        0.00	        0.00	       -0.29	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.21628E+03	-0.26144E+02	      278.15	      277.73	      277.65	      277.61	      277.56	      277.52	      277.48	      277.45	      277.41	      277.38	      277.35	      277.32	      277.30	      277.28	      277.25	      277.23	      277.21	      277.20	      277.18	      277.16	      277.15	      277.13	      277.12	      277.11	      277.10	      277.09	      277.08	      277.07	      277.06	      277.05	      277.04	      277.00
       240.00	        0.07	        0.00	        2.31	        0.00	        0.00	       -0.51	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.35505E+03	-0.56833E+02	      278.53	      278.06	      277.96	      277.90	      277.84	      277.79	      277.74	      277.69	      277.64	      277.60	      277.56	      277.52	      277.48	      277.45	      277.41	      277.38	      277.35	      277.33	      277.30	      277.28	      277.25	      277.23	      277.21	      277.19	      277.17	      277.15	      277.14	      277.12	      277.10	      277.09	      277.06	      277.00
       300.00	        0.08	        0.00	        2.73	        0.00	        0.00	       -0.78	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.51887E+03	-0.10346E+03	      278.92	      278.39	      278.27	      278.20	      278.13	      278.06	      278.00	      277.94	      277.88	      277.83	      277.78	      277.73	      277.68	      277.63	      277.59	      277.55	      277.51	      277.48	      277.44	      277.41	      277.37	      277.34	      277.31	      277.28	      277.26	      277.23	      277.20	      277.18	      277.15	      277.13	      277.10	      277.00
       360.00	        0.10	        0.00	        3.12	        0.00	        0.00	       -1.07	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.70592E+03	-0.16765E+03	      279.30	      278.72	      278.59	      278.51	      278.43	      278.35	      278.27	      278.20	      278.14	      278.07	      278.01	      277.95	      277.89	      277.83	      277.78	      277.73	      277.68	      277.63	      277.59	      277.55	      277.50	      277.46	      277.42	      277.39	      277.35	      277.31	      277.28	      277.25	      277.21	      277.18	      277.13	      277.00
       420.00	        0.12	        0.00	        3.49	        0.00	        0.00	       -1.38	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.91511E+03	-0.25046E+03	      279.68	      279.06	      278.91	      278.82	      278.73	      278.64	      278.55	      278.47	      278.39	      278.32	      278.24	      278.17	      278.11	      278.04	      277.98	      277.92	      277.86	      277.80	      277.74	      277.69	      277.64	      277.59	      277.54	      277.49	      277.45	      277.40	      277.36	      277.32	      277.27	      277.23	      277.17	      277.00
       480.00	        0.13	        0.00	        3.84	        0.00	        0.00	       -1.70	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.11458E+04	-0.35253E+03	      280.07	      279.40	      279.24	      279.13	      279.03	      278.93	      278.83	      278.74	      278.65	      278.57	      278.48	      278.40	      278.33	      278.25	      278.18	      278.11	      278.04	      277.97	      277.90	      277.84	      277.78	      277.72	      277.66	      277.61	      277.55	      277.49	      277.44	      277.39	      277.34	      277.29	      277.21	      277.00
       540.00	        0.15	        0.00	        4.20	        0.00	        0.00	       -2.03	        0.00	        0.00	        8.10	        0.00	        8.10	        0.00	 0.13975E+04	-0.47429E+03	      280.45	      279.74	      279.56	      279.45	      279.33	      279.22	      279.12	      279.02	      278.92	      278.82	      278.73	      278.64	      278.55	      278.46	      278.38	      278.30	      278.22	      278.14	      278.07	      277.99	      277.92	      277.85	      277.79	      277.72	      277.65	      277.59	      277.53	      277.46	      277.40	      277.34	      277.25	      277.00
