      time[s]	 Civ.time[h]	 Sol.time[h]	qconv1[W/m2]	 qrad1[W/m2]	 qsol1[W/m2]	qconv2[W/m2]	 qrad2[W/m2]	 qsol2[W/m2]	hcon1[W/m2K]	hrad1[W/m2K]	hcon2[W/m2K]	hrad2[W/m2K]	 Qcum1[J/m2]	 Qcum2[J/m2]	Ta(-32mm)[K]	   T(0mm)[K]	  T(15mm)[K]	  T(25mm)[K]	  T(35mm)[K]	  T(45mm)[K]	  T(55mm)[K]	  T(65mm)[K]	  T(75mm)[K]	  T(85mm)[K]	  T(95mm)[K]	 T(105mm)[K]	 T(115mm)[K]	 T(125mm)[K]	 T(135mm)[K]	 T(145mm)[K]	 T(155mm)[K]	 T(165mm)[K]	 T(175mm)[K]	 T(185mm)[K]	 T(195mm)[K]	 T(205mm)[K]	 T(215mm)[K]	 T(225mm)[K]	 T(235mm)[K]	 T(245mm)[K]	 T(255mm)[K]	 T(265mm)[K]	 T(275mm)[K]	 T(285mm)[K]	 T(295mm)[K]	 T(305mm)[K]	 T(320mm)[K]	Ta(352mm)[K]
         0.00	        0.00	        0.00	        0.00	        0.00	        0.00	        0.00	        0.00	        0.00	        7.70	        5.24	       20.00	        1.60	 0.00000E+00	 0.00000E+00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      295.00	      278.00
     14400.00	        4.00	        0.00	       -3.44	       -2.35	        0.00	      -30.17	       -2.22	       85.05	        7.70	        5.25	       20.00	        1.47	-0.30315E+05	 0.59116E+06	      295.00	      295.45	      295.53	      295.57	      295.62	      295.68	      295.74	      295.82	      295.90	      296.00	      296.10	      296.22	      296.34	      296.48	      296.63	      296.80	      296.97	      297.16	      297.36	      297.57	      297.80	      298.03	      298.29	      297.77	      296.65	      295.37	      293.92	      292.28	      290.44	      288.38	      286.10	      283.60	      279.51	      278.00
     28800.00	        8.00	        0.00	       -8.90	       -6.09	        0.00	      -30.32	       -2.23	       85.05	        7.70	        5.27	       20.00	        1.47	-0.18637E+06	 0.13517E+07	      295.00	      296.16	      296.35	      296.44	      296.53	      296.63	      296.73	      296.85	      296.97	      297.10	      297.23	      297.38	      297.53	      297.69	      297.86	      298.04	      298.23	      298.42	      298.63	      298.85	      299.07	      299.31	      299.55	      298.92	      297.59	      296.11	      294.47	      292.66	      290.68	      288.53	      286.18	      283.64	      279.52	      278.00
     43200.00	       12.00	        0.00	      -13.17	       -9.04	        0.00	      -31.33	       -2.31	       85.05	        7.70	        5.29	       20.00	        1.47	-0.45970E+06	 0.20993E+07	      295.00	      296.71	      297.00	      297.11	      297.24	      297.37	      297.50	      297.64	      297.79	      297.94	      298.10	      298.26	      298.43	      298.61	      298.80	      298.99	      299.18	      299.39	      299.60	      299.82	      300.05	      300.28	      300.53	      299.86	      298.45	      296.88	      295.15	      293.25	      291.17	      288.92	      286.47	      283.83	      279.57	      278.00
     57600.00	       16.00	        0.00	      -16.46	      -11.32	        0.00	      -32.18	       -2.37	       85.05	        7.70	        5.30	       20.00	        1.47	-0.82382E+06	 0.28324E+07	      295.00	      297.14	      297.49	      297.64	      297.78	      297.94	      298.09	      298.26	      298.42	      298.59	      298.77	      298.95	      299.13	      299.33	      299.52	      299.72	      299.93	      300.14	      300.36	      300.58	      300.81	      301.05	      301.29	      300.59	      299.12	      297.49	      295.70	      293.73	      291.58	      289.25	      286.72	      284.00	      279.61	      278.00
     72000.00	       20.00	        0.00	      -19.02	      -13.11	        0.00	      -32.84	       -2.42	       85.05	        7.70	        5.31	       20.00	        1.47	-0.12584E+07	 0.35539E+07	      295.00	      297.47	      297.88	      298.04	      298.21	      298.38	      298.56	      298.73	      298.92	      299.10	      299.29	      299.48	      299.68	      299.88	      300.09	      300.29	      300.51	      300.73	      300.95	      301.17	      301.40	      301.64	      301.88	      301.17	      299.65	      297.98	      296.13	      294.10	      291.90	      289.50	      286.92	      284.13	      279.64	      278.00
     86400.00	        0.00	        0.00	      -21.01	      -14.49	        0.00	      -33.36	       -2.46	       85.05	        7.70	        5.31	       20.00	        1.48	-0.17479E+07	 0.42663E+07	      295.00	      297.73	      298.18	      298.36	      298.54	      298.73	      298.91	      299.11	      299.30	      299.50	      299.70	      299.90	      300.10	      300.31	      300.52	      300.74	      300.96	      301.18	      301.41	      301.63	      301.87	      302.10	      302.34	      301.61	      300.06	      298.35	      296.46	      294.39	      292.14	      289.70	      287.07	      284.23	      279.67	      278.00
    100800.00	        4.00	        0.00	      -22.55	      -15.58	        0.00	      -33.77	       -2.49	       85.05	        7.70	        5.32	       20.00	        1.48	-0.22799E+07	 0.49717E+07	      295.00	      297.93	      298.41	      298.60	      298.80	      298.99	      299.19	      299.39	      299.60	      299.80	      300.01	      300.22	      300.43	      300.65	      300.87	      301.09	      301.31	      301.53	      301.76	      301.99	      302.22	      302.46	      302.70	      301.96	      300.38	      298.64	      296.72	      294.62	      292.34	      289.86	      287.19	      284.31	      279.69	      278.00
    115200.00	        8.00	        0.00	      -23.75	      -16.42	        0.00	      -34.08	       -2.51	       85.05	        7.70	        5.32	       20.00	        1.48	-0.28452E+07	 0.56717E+07	      295.00	      298.08	      298.59	      298.79	      299.00	      299.20	      299.41	      299.62	      299.83	      300.04	      300.26	      300.47	      300.69	      300.91	      301.13	      301.35	      301.58	      301.81	      302.04	      302.27	      302.50	      302.74	      302.98	      302.22	      300.63	      298.87	      296.92	      294.80	      292.49	      289.98	      287.28	      284.37	      279.70	      278.00
    129600.00	       12.00	        0.00	      -24.68	      -17.07	        0.00	      -34.33	       -2.53	       85.05	        7.70	        5.33	       20.00	        1.48	-0.34361E+07	 0.63673E+07	      295.00	      298.21	      298.73	      298.94	      299.15	      299.36	      299.58	      299.79	      300.01	      300.23	      300.45	      300.67	      300.89	      301.11	      301.34	      301.56	      301.79	      302.02	      302.25	      302.48	      302.72	      302.95	      303.19	      302.43	      300.83	      299.04	      297.08	      294.93	      292.60	      290.07	      287.35	      284.42	      279.72	      278.00
